textoConBlancos,blancos_json,explicacion,rama,libro,titulo,materia,dificultad
"El artículo {1} del Código Civil define la ley como una declaración de la voluntad {2} que, manifestada en la forma prescrita por la {3}, manda, prohíbe o permite.","[{""id"":1,""correcta"":""1"",""opciones"":[""1"",""2"",""3"",""4""]},{""id"":2,""correcta"":""soberana"",""opciones"":[""soberana"",""popular"",""legislativa"",""nacional""]},{""id"":3,""correcta"":""Constitución"",""opciones"":[""Constitución"",""ley"",""costumbre"",""jurisprudencia""]}]","Art. 1 CC contiene la definición legal de ley con tres elementos esenciales.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_I,De la Ley,1
"La costumbre no constituye {1} sino en los casos en que la {2} se remite a ella.","[{""id"":1,""correcta"":""derecho"",""opciones"":[""derecho"",""ley"",""norma"",""obligación""]},{""id"":2,""correcta"":""ley"",""opciones"":[""ley"",""costumbre"",""jurisprudencia"",""doctrina""]}]","Art. 2 CC. Sistema de costumbre según la ley (secundum legem).",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_I,De la Ley,1
"Las sentencias judiciales no tienen fuerza {1} sino respecto de las {2} en que actualmente se pronunciaren.","[{""id"":1,""correcta"":""obligatoria"",""opciones"":[""obligatoria"",""vinculante"",""legal"",""ejecutiva""]},{""id"":2,""correcta"":""causas"",""opciones"":[""causas"",""partes"",""materias"",""personas""]}]","Art. 3 inc. 2 CC. Efecto relativo de las sentencias: solo obligan en el caso concreto.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_I,De la Ley,1
"La publicación de la ley se hará mediante su inserción en el {1}, y desde la fecha de éste se entenderá {2} de todos y será obligatoria.","[{""id"":1,""correcta"":""Diario Oficial"",""opciones"":[""Diario Oficial"",""Boletín Legislativo"",""Registro Civil"",""Congreso Nacional""]},{""id"":2,""correcta"":""conocida"",""opciones"":[""conocida"",""obligatoria"",""vigente"",""aprobada""]}]","Art. 7 CC. La inserción en el Diario Oficial produce una ficción de conocimiento universal.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_II,Promulgación de la Ley,1
"Nadie podrá alegar {1} de la ley después que ésta haya entrado en {2}.","[{""id"":1,""correcta"":""ignorancia"",""opciones"":[""ignorancia"",""desconocimiento"",""inaplicabilidad"",""nulidad""]},{""id"":2,""correcta"":""vigencia"",""opciones"":[""vigencia"",""vigor"",""aplicación"",""publicación""]}]","Art. 8 CC. Presunción de derecho de conocimiento de la ley.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_III,Efectos de la Ley,1
"La ley puede solo disponer para lo {1}, y no tendrá jamás efecto {2}.","[{""id"":1,""correcta"":""futuro"",""opciones"":[""futuro"",""presente"",""porvenir"",""momento""]},{""id"":2,""correcta"":""retroactivo"",""opciones"":[""retroactivo"",""inmediato"",""permanente"",""diferido""]}]","Art. 9 CC. Principio de irretroactividad de la ley.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_III,Efectos de la Ley,1
"Podrán renunciarse los derechos conferidos por las leyes, con tal que solo miren al {1} individual del renunciante, y que no esté {2} su renuncia.","[{""id"":1,""correcta"":""interés"",""opciones"":[""interés"",""beneficio"",""derecho"",""patrimonio""]},{""id"":2,""correcta"":""prohibida"",""opciones"":[""prohibida"",""limitada"",""restringida"",""condicionada""]}]","Art. 12 CC. Dos requisitos copulativos para la renunciabilidad de derechos.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_III,Efectos de la Ley,1
"Cuando el sentido de la ley es {1}, no se desatenderá su tenor {2}, a pretexto de consultar su espíritu.","[{""id"":1,""correcta"":""claro"",""opciones"":[""claro"",""evidente"",""manifiesto"",""literal""]},{""id"":2,""correcta"":""literal"",""opciones"":[""literal"",""gramatical"",""textual"",""escrito""]}]","Art. 19 inc. 1 CC. Primera regla de interpretación: prevalencia del tenor literal cuando es claro.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_IV,Interpretación de la Ley,1
"Se llama {1} al imprevisto a que no es posible {2}, como un naufragio, un terremoto, el apresamiento de enemigos, los actos de autoridad ejercidos por un funcionario público.","[{""id"":1,""correcta"":""fuerza mayor o caso fortuito"",""opciones"":[""fuerza mayor o caso fortuito"",""hecho imprevisto"",""causa extraña"",""evento fortuito""]},{""id"":2,""correcta"":""resistir"",""opciones"":[""resistir"",""prever"",""evitar"",""impedir""]}]","Art. 45 CC. Los dos elementos son imprevisibilidad e irresistibilidad.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_V,Definición de varias palabras de uso frecuente,1
"La {1} de las leyes podrá ser expresa o {2}. Es expresa, cuando la nueva ley dice expresamente que deroga la antigua.","[{""id"":1,""correcta"":""derogación"",""opciones"":[""derogación"",""abolición"",""anulación"",""revocación""]},{""id"":2,""correcta"":""tácita"",""opciones"":[""tácita"",""implícita"",""parcial"",""total""]}]","Art. 52 CC. Dos formas de derogación reconocidas por el Código Civil.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_VI,Derogación de las Leyes,1
